FID,ZCTA5CE10,GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Male,Male - Under 5 years,Male - 5 to 9 years,Male - 10 to 14 years,Male - 15 to 19 years,Male - 20 to 24 years,Male - 25 to 29 years,Male - 30 to 34 years,Male - 35 to 39 years,Male - 40 to 44 years,Male - 45 to 49 years,Male - 50 to 54 years,Male - 55 to 59 years,Male - 60 to 64 years,Male - 65 to 69 years,Male - 70 to 74 years,Male - 75 to 79 years,Male - 80 to 84 years,Male - 85 years and over,Female,Female - Under 5 years,Female - 5 to 9 years,Female - 10 to 14 years,Female - 15 to 19 years,Female - 20 to 24 years,Female - 25 to 29 years,Female - 30 to 34 years,Female - 35 to 39 years,Female - 40 to 44 years,Female - 45 to 49 years,Female - 50 to 54 years,Female - 55 to 59 years,Female - 60 to 64 years,Female - 65 to 69 years,Female - 70 to 74 years,Female - 75 to 79 years,Female - 80 to 84 years,Female - 85 years and over,Median age,Median age - Male,Median age - Female,Population 16 years and over,Population 16 years and over - Male,Population 16 years and over - Female,Population 18 years and over,Population 18 years and over - Male,Population 18 years and over - Female,Population 21 years and over,Population 21 years and over - Male,Population 21 years and over - Female,Population 62 years and over,Population 62 years and over - Male,Population 62 years and over - Female,Population 65 years and over,Population 65 years and over - Male,Population 65 years and over - Female,Population2,Population of one race,Population - White,Population - Black or African American,Population - American Indian and Alaska Native,Population - Asian,Population - Asian Indian,Population - Chinese,Population - Filipino,Population - Japanese,Population - Korean,Population - Vietnamese,Population - Other Asian,Population - Native Hawaiian and Other Pacific Islander:,Population - Native Hawaiian,Population - Guamanian or Chamorro,Population - Samoan,Population - Other Pacific Islander,Population - Other Race,Population - Two or More Races,Population - White and American Indian and Alaska Native,Population - White and Asian,Population - White and Black or African American,Population - White and Other Race,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,Population3,Population - Hispanic or Latino,Population - Mexican,Population - Puerto Rican,Population - Cuban,Population - Other Hispanic or Latino,Population - Not Hispanic or Latino,Population4,Population2 - Hispanic or Latino,Population - Hispanic or Latino and White alone,Population - Hispanic or Latino and Black or African American alone,Population - Hispanic or Latino and American Indian and Alaska Native alone,Population - Hispanic or Latino and Asian alone,Population - Hispanic or Latino and Native Hawaiian and Other Pacific Islander alone,Population - Hispanic or Latino and Other Race alone,Population - Hispanic or Latino and Two or More Races,Population2 - Not Hispanic or Latino,Population - Not Hispanic or Latino and White alone,Population - Not Hispanic or Latino and Black or African American alone,Population - Not Hispanic or Latino and American Indian and Alaska Native alone,Population - Not Hispanic or Latino and Asian alone,Population - Not Hispanic or Latino and Native Hawaiian and Other Pacific Islander alone,Population - Not Hispanic or Latino and Other Race alone,Population - Not Hispanic or Latino and Two or More Races,Population5,Population - In households,Population - In household and Householder,Population - In household and Spouse,Population - In household and Child,Population - In household and Own child under 18 years,Population - In household and Other relatives,Population - In household and Under 18 years,Population - In household and 65 years and over,Population - In household and Nonrelatives,Population - In household and Nonrelatives and Under 18 years,Population - In household and Nonrelatives and 65 years and over,Population - In household and Nonrelatives and Unmarried partner,Population - In group quarters,Population - In group quarters and institutionalized,Population - In group quarters and institutionalized and Male,Population - In group quarters and institutionalized and Female,Population - In group quarters and Noninstitutionalized,Population - In group quarters and Noninstitutionalized and Male,Population - In group quarters and Noninstitutionalized and Female,Households,Family households,Family households - with own children under 18 years,Family households - Husband-wife,Family households - Husband-wife with own children under 18 years,"Family households - Male householder, no wife present","Family households - Male householder, no wife present with own children under 18 years","Family households - Female householder, no husband present","Family households - Female householder, no husband present with own children under 18 years",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder living alone and Male,Nonfamily households - Householder living alone and Male and 65 years and over,Nonfamily households - Householder living alone and Female,Nonfamily households - Householder living alone and Female and 65 years and over,Households with individuals under 18 years,Households with individuals 65 years and over,Average household size,Average family size,Housing units,Housing units - Occupied,Housing units - Vacant, Housing units - Vacant and for rent, Housing units - Vacant and rented, Housing units - Vacant and for sale only, Housing units - Vacant and sold," Housing units - Vacant and for seasonal, recreational, or occasional use", Housing units - Vacant and all other vacants,Homeowner vacancy rate,Rental vacancy rate,Housing units2 - Occupied,Housing units - Owner-occupied,Housing units - Renter-occupied,Population - Owner-occupied housing units,Population - Renter-occupied housing units,Average household size - Owner occupied,Average household size - Renter occupied,Shape_Leng,Shape_Area
14061,33503,33503,1673643,1477,27.7638306,-82.2761741,108,6,11,13,8,10,7,8,7,5,9,9,2,4,3,1,4,1,0,58,5,5,7,5,6,2,3,3,5,3,6,1,2,2,0,3,0,0,50,1,6,6,3,4,5,5,4,0,6,3,1,2,1,1,1,1,0,28.7,27.0,30.0,77,40,37,73,36,37,69,35,34,10,5,5,9,5,4,108,107,82,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,19,1,0,1,0,0,83,0,0,7,0,19,108,40,24,2,5,9,68,108,40,21,0,0,0,0,19,0,68,61,0,0,6,0,0,1,108,108,32,18,40,29,10,5,1,8,1,0,4,0,0,0,0,0,0,0,32,26,16,18,11,5,4,3,1,6,6,4,0,2,1,19,7,3.38,3.62,35,32,3,0,0,0,0,0,3,0.0,0.0,32,25,7,84,24,3.36,3.43,0.068990262,0.000153347
14062,33510,33510,19232229,1249842,27.955637,-82.2966931,27610,1904,1841,1912,2089,1873,1959,1833,1936,1912,2162,2053,1793,1403,954,734,543,397,312,13112,986,930,938,1066,920,899,912,921,900,1009,977,799,627,434,316,228,159,91,14498,918,911,974,1023,953,1060,921,1015,1012,1153,1076,994,776,520,418,315,238,221,36.1,34.4,37.5,21536,10041,11495,20649,9578,11071,19508,9010,10498,3726,1587,2139,2940,1228,1712,27610,26765,20324,4294,121,806,290,103,147,25,70,54,117,49,16,8,9,16,1171,845,81,142,276,124,21023,4712,279,1021,104,1388,27610,5789,765,2602,814,1608,21821,27610,5789,4063,279,44,18,6,1081,298,21821,16261,4015,77,788,43,90,547,27610,27438,10425,4838,8391,6027,2007,785,302,1777,144,56,841,172,144,52,92,28,14,14,10425,7312,3436,4838,1991,598,302,1876,1143,3113,2373,944,173,1429,506,3911,2151,2.63,3.08,11221,10425,796,275,6,139,10,31,335,2.0,6.8,10425,6676,3749,17577,9861,2.63,2.63,0.247573144,0.001878266
14063,33511,33511,41143907,2263513,27.9097776,-82.2957378,52003,3378,3285,3493,3473,3971,4525,3970,3685,3742,4008,3615,3044,2559,1744,1186,946,682,697,24839,1694,1656,1754,1751,1851,2177,1928,1817,1813,1830,1755,1414,1184,805,528,415,260,207,27164,1684,1629,1739,1722,2120,2348,2042,1868,1929,2178,1860,1630,1375,939,658,531,422,490,34.9,33.9,35.8,41121,19335,21786,39736,18638,21098,37632,17646,19986,6724,2899,3825,5255,2215,3040,52003,50000,37503,7982,203,1789,753,144,343,48,147,174,180,34,11,7,4,12,2489,2003,201,337,547,395,39140,8933,553,2315,104,3132,52003,11192,1249,4855,1353,3735,40811,52003,11192,7386,591,38,41,2,2359,775,40811,30117,7391,165,1748,32,130,1228,52003,51648,20591,9335,14898,10772,3188,1168,534,3636,285,138,1723,355,342,102,240,13,5,8,20591,13557,6339,9335,3895,1147,628,3075,1816,7034,5290,2350,305,2940,857,7070,3727,2.51,3.02,22336,20591,1745,883,29,272,46,99,416,2.4,8.4,20591,11019,9572,29414,22234,2.67,2.32,0.441233795,0.003978929
14069,33527,33527,80466350,1568059,27.9736038,-82.2126626,15203,1225,1213,1155,1116,1169,1113,946,1026,1015,1099,1068,797,701,542,418,279,185,136,8106,640,621,606,628,701,609,522,554,558,580,571,399,353,273,223,136,84,48,7097,585,592,549,488,468,504,424,472,457,519,497,398,348,269,195,143,101,88,33.2,32.3,34.3,11414,6133,5281,10929,5873,5056,10254,5474,4780,1971,971,1000,1560,764,796,15203,14634,11812,447,84,181,48,23,39,4,15,26,26,13,1,9,0,3,2097,569,39,37,297,141,12338,789,127,235,26,2268,15203,5927,4819,417,165,526,9276,15203,5927,3324,94,42,8,4,2068,387,9276,8488,353,42,173,9,29,182,15203,14716,4557,2795,4749,3429,1557,585,200,1058,100,46,339,487,0,0,0,487,359,128,4557,3603,1658,2795,1234,369,185,439,239,954,702,396,102,306,175,1932,1115,3.23,3.53,5185,4557,628,243,11,43,18,108,205,1.3,14.6,4557,3148,1409,9268,5448,2.94,3.87,0.652826841,0.007524145
14070,33534,33534,32021700,7405786,27.8231885,-82.3788704,12839,1346,1120,975,893,829,1069,1175,1062,921,836,713,623,455,311,215,144,90,62,6464,683,580,479,450,396,510,594,542,478,416,365,326,247,161,102,71,40,24,6375,663,540,496,443,433,559,581,520,443,420,348,297,208,150,113,73,50,38,30.7,30.9,30.4,9233,4650,4583,8853,4456,4397,8375,4212,4163,1068,527,541,822,398,424,12839,12428,9132,1779,57,230,48,28,43,5,11,52,43,16,10,6,0,0,1214,411,42,69,114,108,9497,1950,121,329,35,1354,12839,3793,2250,696,186,661,9046,12839,3793,2313,93,9,8,6,1197,167,9046,6819,1686,48,222,10,17,244,12839,12825,4246,1983,4274,3382,1083,460,121,1239,134,49,578,14,0,0,0,14,13,1,4246,3036,1702,1983,1053,355,201,698,448,1210,783,461,78,322,105,1965,651,3.02,3.42,5021,4246,775,283,6,129,11,64,282,4.7,14.7,4246,2612,1634,7626,5199,2.92,3.18,0.516639897,0.003611267
14078,33547,33547,370616674,20762675,27.7910835,-82.1355165,19813,1386,2055,2240,1628,702,655,927,1797,2198,1841,1227,871,834,577,393,241,143,98,9737,712,1048,1157,825,348,317,397,804,1067,936,623,434,420,283,182,96,54,34,10076,674,1007,1083,803,354,338,530,993,1131,905,604,437,414,294,211,145,89,64,36.1,35.5,36.5,13725,6622,7103,12931,6215,6716,12328,5906,6422,1958,913,1045,1452,649,803,19813,19361,17756,630,48,551,180,90,122,20,48,18,73,8,1,6,0,1,368,452,87,128,85,48,18154,775,168,726,34,451,19813,2045,455,575,334,681,17768,19813,2045,1545,40,8,8,1,335,108,17768,16211,590,40,543,7,33,344,19813,19752,6237,4424,7667,6451,872,318,222,552,77,23,287,61,24,1,23,37,19,18,6237,5297,3311,4424,2736,238,145,635,430,940,769,334,76,435,186,3496,1078,3.17,3.45,6773,6237,536,55,1,131,42,103,204,2.4,5.1,6237,5209,1028,16330,3422,3.13,3.33,1.110239323,0.035832509
14079,33548,33548,20225460,3050199,28.147189,-82.4837782,5807,267,319,407,388,312,183,227,288,409,556,586,541,511,306,173,147,102,85,2902,139,160,204,182,179,95,111,130,203,285,288,263,271,153,94,70,45,30,2905,128,159,203,206,133,88,116,158,206,271,298,278,240,153,79,77,57,55,45.9,46.0,45.9,4725,2360,2365,4553,2286,2267,4349,2170,2179,1111,553,558,813,392,421,5807,5699,5324,179,16,116,30,19,10,2,19,19,17,10,0,10,0,0,54,108,28,23,23,8,5420,222,55,151,12,70,5807,653,55,150,196,252,5154,5807,653,536,14,5,4,10,45,39,5154,4788,165,11,112,0,9,69,5807,5801,2163,1417,1659,1144,274,91,67,288,18,26,130,6,0,0,0,6,0,6,2163,1698,622,1417,490,117,62,164,70,465,344,176,36,168,90,687,568,2.68,2.97,2335,2163,172,26,3,46,8,24,65,2.3,9.4,2163,1914,249,5165,636,2.7,2.55,0.335345669,0.002137999
14080,33549,33549,30420933,3133397,28.1379437,-82.4462524,16132,764,916,1149,1098,826,799,729,1006,1191,1517,1560,1332,1077,776,514,358,286,234,7892,369,478,591,570,433,405,342,503,566,746,746,645,558,374,228,153,110,75,8240,395,438,558,528,393,394,387,503,625,771,814,687,519,402,286,205,176,159,43.4,42.5,44.3,13045,6313,6732,12594,6078,6516,12025,5789,6236,2763,1248,1515,2168,940,1228,16132,15777,14274,811,72,294,76,47,54,5,20,59,33,4,2,1,1,0,322,355,73,89,64,54,14582,917,163,411,24,411,16132,2284,256,783,491,754,13848,16132,2284,1809,42,17,4,1,288,123,13848,12465,769,55,290,3,34,232,16132,16047,6340,3537,4478,3155,851,275,213,841,71,43,402,85,41,12,29,44,28,16,6340,4427,1811,3537,1384,278,134,612,293,1913,1528,656,152,872,402,2014,1639,2.53,3.0,6962,6340,622,186,17,118,16,100,185,2.3,12.0,6340,4998,1342,13077,2970,2.62,2.21,0.413724504,0.003082207
14081,33556,33556,94850342,11209878,28.1348086,-82.5914585,22015,1136,1634,1755,1660,893,739,890,1508,1914,2234,2140,1794,1378,924,588,413,233,182,10958,554,835,891,854,483,372,398,696,904,1079,1050,933,724,490,287,215,112,81,11057,582,799,864,806,410,367,492,812,1010,1155,1090,861,654,434,301,198,121,101,42.0,42.2,41.8,17074,8456,8618,16364,8100,8264,15626,7722,7904,3116,1601,1515,2340,1185,1155,22015,21519,19348,959,68,884,374,151,80,6,123,70,80,19,2,7,2,8,241,496,54,146,86,81,19758,1111,168,1104,41,369,22015,2527,177,720,685,945,19488,22015,2527,2117,47,19,7,4,213,120,19488,17231,912,49,877,15,28,376,22015,22015,7807,5462,7047,5322,956,266,296,743,63,42,403,0,0,0,0,0,0,0,7807,6355,2925,5462,2436,306,171,587,318,1452,1094,576,139,518,214,3104,1695,2.82,3.12,8642,7807,835,96,3,202,25,337,172,2.8,10.4,7807,6979,828,19841,2174,2.84,2.63,0.551878713,0.009742474
14082,33558,33558,45010975,4210070,28.1655192,-82.5113842,20064,1110,1515,1598,1295,874,887,998,1489,1829,1963,1645,1432,1252,830,535,367,270,175,9830,558,755,836,686,439,422,459,697,869,940,820,690,632,420,253,176,111,67,10234,552,760,762,609,435,465,539,792,960,1023,825,742,620,410,282,191,159,108,40.8,40.4,41.1,15532,7523,8009,14957,7217,7740,14351,6894,7457,2911,1401,1510,2177,1027,1150,20064,19521,16908,1146,58,1012,464,144,100,15,109,111,69,12,5,5,1,1,385,543,75,132,135,96,17387,1343,169,1185,34,523,20064,3185,169,982,683,1351,16879,20064,3185,2549,88,14,20,1,350,163,16879,14359,1058,44,992,11,35,380,20064,20061,7869,4499,6116,4833,730,213,255,847,60,54,454,3,1,0,1,2,2,0,7869,5551,2720,4499,2093,297,169,755,458,2318,1838,881,173,957,316,2868,1618,2.55,3.04,8624,7869,755,198,12,130,16,265,134,2.4,7.3,7869,5365,2504,15026,5035,2.8,2.01,0.373008471,0.004522066
14083,33559,33559,32735317,788870,28.161002,-82.4146124,15427,901,889,930,1057,2208,1244,1088,1055,1039,1120,1018,849,790,454,305,206,165,109,7537,441,474,474,535,1059,647,522,514,520,544,480,386,377,214,139,92,72,47,7890,460,415,456,522,1149,597,566,541,519,576,538,463,413,240,166,114,93,62,32.1,31.2,33.0,12524,6057,6467,12138,5859,6279,11168,5392,5776,1687,779,908,1239,564,675,15427,14951,11851,1786,39,755,214,108,121,15,55,166,76,21,9,6,2,4,499,476,45,94,121,80,12227,2010,127,899,38,641,15427,2916,242,1214,488,972,12511,15427,2916,2114,131,12,10,1,464,184,12511,9737,1655,27,745,20,35,292,15427,15391,6186,2682,4035,2991,875,247,193,1613,48,27,425,36,30,21,9,6,5,1,6186,3645,1739,2682,1236,268,124,695,379,2541,1763,830,83,933,182,1897,932,2.49,3.08,6865,6186,679,383,8,82,8,35,163,2.1,13.5,6186,3750,2436,10008,5383,2.67,2.21,0.471857243,0.003079858
14084,33563,33563,38255052,1163359,28.0172218,-82.1249531,25488,2176,2030,1870,1893,1865,1968,1761,1631,1659,1587,1491,1294,1199,894,770,594,410,396,12338,1080,1042,964,926,948,984,864,821,791,783,752,595,562,380,335,248,151,112,13150,1096,988,906,967,917,984,897,810,868,804,739,699,637,514,435,346,259,284,32.5,31.1,33.9,19027,9071,9956,18238,8702,9536,17142,8128,9014,3773,1550,2223,3064,1226,1838,25488,24853,16557,4542,176,208,47,32,28,5,11,11,74,12,2,4,4,2,3358,635,77,51,150,224,17095,4791,301,289,40,3640,25488,8377,6224,1035,278,840,17111,25488,8377,4508,155,69,4,0,3322,319,17111,12049,4387,107,204,12,36,316,25488,25189,8900,3898,8082,5905,2562,1127,232,1747,185,78,746,299,118,39,79,181,116,65,8900,6188,3024,3898,1801,609,277,1681,946,2712,2147,891,213,1256,649,3571,2274,2.83,3.35,10224,8900,1324,524,13,205,27,166,389,3.9,12.0,8900,5072,3828,14216,10973,2.8,2.87,0.488249002,0.003616792
14085,33565,33565,226718597,4014563,28.0859061,-82.1481135,17975,1046,1110,1239,1229,982,955,886,987,1177,1381,1386,1298,1048,991,768,688,475,329,8959,527,555,623,679,504,475,453,513,575,685,720,639,525,477,349,329,213,118,9016,519,555,616,550,478,480,433,474,602,696,666,659,523,514,419,359,262,211,42.4,41.3,43.4,14323,7109,7214,13825,6829,6996,13144,6467,6677,3882,1801,2081,3251,1486,1765,17975,17669,16030,310,67,284,33,28,32,3,11,4,173,13,1,2,0,10,965,306,90,43,48,90,16313,378,168,341,18,1070,17975,3096,2253,235,301,307,14879,17975,3096,1974,38,21,3,2,949,109,14879,14056,272,46,281,11,16,197,17975,17588,6423,3831,4867,3358,1502,601,229,965,121,71,435,387,42,19,23,345,236,109,6423,4793,1733,3831,1305,363,176,599,252,1630,1330,578,190,752,480,2057,2212,2.74,3.13,7143,6423,720,142,11,124,28,184,231,2.3,11.3,6423,5314,1109,13930,3658,2.62,3.3,0.706767343,0.021185663
